sentence,version
"And when they came to the hazel-tree the white dove sang— ""Prince! prince! take home thy bride, For she is the true one that sits by thy side!""",grimm
"Once there was a gentleman who married, for his second wife, the proudest and most haughty woman that was ever seen.",lang
"She had, by a former husband, two daughters of her own humor, who were, indeed, exactly like her in all things.",lang
"He had likewise, by another wife, a young daughter, but of unparalleled goodness and sweetness of temper, which she took from her mother, who was the best creature in the world.",lang
No sooner were the ceremonies of the wedding over but the mother-in-law began to show herself in her true colors.,lang
"She could not bear the good qualities of this pretty girl, and the less because they made her own daughters appear the more odious.",lang
"She employed her in the meanest work of the house: she scoured the dishes, tables, etc., and scrubbed madam's chamber, and those of misses, her daughters; she lay up in a sorry garret, upon a wretched straw bed, while her sisters lay in fine rooms, with floors all inlaid, upon beds of the very newest fashion, and where they had looking-glasses so large that they might see themselves at their full length from head to foot.",lang
"The poor girl bore all patiently, and dared not tell her father, who would have rattled her off; for his wife governed him entirely.",lang
"When she had done her work, she used to go into the chimney-corner, and sit down among cinders and ashes, which made her commonly be called Cinderwench; but the youngest, who was not so rude and uncivil as the eldest, called her Cinderella.",lang
"However, Cinderella, notwithstanding her mean apparel, was a hundred times handsomer than her sisters, though they were always dressed very richly.",lang
"It happened that the King's son gave a ball, and invited all persons of fashion to it.",lang
"Our young misses were also invited, for they cut a very grand figure among the quality.",lang
"They were mightily delighted at this invitation, and wonderfully busy in choosing out such gowns, petticoats, and head-clothes as might become them.",lang
"This was a new trouble to Cinderella; for it was she who ironed her sisters' linen, and plaited their ruffles; they talked all day long of nothing but how they should be dressed.",lang
"""For my part,"" said the eldest, ""I will wear my red velvet suit with French trimming."" ""And I,"" said the youngest, ""shall have my usual petticoat; but then, to make amends for that, I will put on my gold-flowered manteau, and my diamond stomacher, which is far from being the most ordinary one in the world."" They sent for the best tire-woman they could get to make up their head-dresses and adjust their double pinners, and they had their red brushes and patches from Mademoiselle de la Poche.",lang
"Cinderella was likewise called up to them to be consulted in all these matters, for she had excellent notions, and advised them always for the best, nay, and offered her services to dress their heads, which they were very willing she should do.",lang
"As she was doing this, they said to her: ""Cinderella, would you not be glad to go to the ball?"" ""Alas!"" said she, ""you only jeer me; it is not for such as I am to go thither."" ""Thou art in the right of it,"" replied they; ""it would make the people laugh to see a Cinderwench at a ball."" Anyone but Cinderella would have dressed their heads awry, but she was very good, and dressed them perfectly well They were almost two days without eating, so much were they transported with joy.",lang
"They broke above a dozen laces in trying to be laced up close, that they might have a fine slender shape, and they were continually at their looking-glass.",lang
"At last the happy day came; they went to Court, and Cinderella followed them with her eyes as long as she could, and when she had lost sight of them, she fell a-crying.",lang
"Her godmother, who saw her all in tears, asked her what was the matter.",lang
"""I wish I could—I wish I could—""; she was not able to speak the rest, being interrupted by her tears and sobbing.",lang
"This godmother of hers, who was a fairy, said to her, ""Thou wishest thou couldst go to the ball; is it not so?"" ""Y—es,"" cried Cinderella, with a great sigh.",lang
"""Well,"" said her godmother, ""be but a good girl, and I will contrive that thou shalt go."" Then she took her into her chamber, and said to her, ""Run into the garden, and bring me a pumpkin."" Cinderella went immediately to gather the finest she could get, and brought it to her godmother, not being able to imagine how this pumpkin could make her go to the ball.",lang
"Her godmother scooped out all the inside of it, having left nothing but the rind; which done, she struck it with her wand, and the pumpkin was instantly turned into a fine coach, gilded all over with gold.",lang
"She then went to look into her mouse-trap, where she found six mice, all alive, and ordered Cinderella to lift up a little the trapdoor, when, giving each mouse, as it went out, a little tap with her wand, the mouse was that moment turned into a fine horse, which altogether made a very fine set of six horses of a beautiful mouse-colored dapple-gray.",lang
"Being at a loss for a coachman, ""I will go and see,"" says Cinderella, ""if there is never a rat in the rat-trap—we may make a coachman of him."" ""Thou art in the right,"" replied her godmother; ""go and look."" Cinderella brought the trap to her, and in it there were three huge rats.",lang
"The fairy made choice of one of the three which had the largest beard, and, having touched him with her wand, he was turned into a fat, jolly coachman, who had the smartest whiskers eyes ever beheld.",lang
"After that, she said to her: ""Go again into the garden, and you will find six lizards behind the watering-pot, bring them to me."" She had no sooner done so but her godmother turned them into six footmen, who skipped up immediately behind the coach, with their liveries all bedaubed with gold and silver, and clung as close behind each other as if they had done nothing else their whole lives.",lang
"The Fairy then said to Cinderella: ""Well, you see here an equipage fit to go to the ball with; are you not pleased with it?"" ""Oh! yes,"" cried she; ""but must I go thither as I am, in these nasty rags?"" Her godmother only just touched her with her wand, and, at the same instant, her clothes were turned into cloth of gold and silver, all beset with jewels.",lang
"This done, she gave her a pair of glass slippers, the prettiest in the whole world.",lang
"Being thus decked out, she got up into her coach; but her godmother, above all things, commanded her not to stay till after midnight, telling her, at the same time, that if she stayed one moment longer, the coach would be a pumpkin again, her horses mice, her coachman a rat, her footmen lizards, and her clothes become just as they were before.",lang
"She promised her godmother she would not fail of leaving the ball before midnight; and then away she drives, scarce able to contain herself for joy.",lang
"The King's son who was told that a great princess, whom nobody knew, was come, ran out to receive her; he gave her his hand as she alighted out of the coach, and led her into the ball, among all the company.",lang
"There was immediately a profound silence, they left off dancing, and the violins ceased to play, so attentive was everyone to contemplate the singular beauties of the unknown new-comer.",lang
"Nothing was then heard but a confused noise of: ""Ha! how handsome she is!",lang
"Ha! how handsome she is!"" The King himself, old as he was, could not help watching her, and telling the Queen softly that it was a long time since he had seen so beautiful and lovely a creature.",lang
"All the ladies were busied in considering her clothes and headdress, that they might have some made next day after the same pattern, provided they could meet with such fine material and as able hands to make them.",lang
"The King's son conducted her to the most honorable seat, and afterward took her out to dance with him; she danced so very gracefully that they all more and more admired her.",lang
"A fine collation was served up, whereof the young prince ate not a morsel, so intently was he busied in gazing on her.",lang
"She went and sat down by her sisters, showing them a thousand civilities, giving them part of the oranges and citrons which the Prince had presented her with, which very much surprised them, for they did not know her.",lang
"While Cinderella was thus amusing her sisters, she heard the clock strike eleven and three-quarters, whereupon she immediately made a courtesy to the company and hasted away as fast as she could.",lang
"When she got home she ran to seek out her godmother, and, after having thanked her, she said she could not but heartily wish she might go next day to the ball, because the King's son had desired her.",lang
"As she was eagerly telling her godmother whatever had passed at the ball, her two sisters knocked at the door, which Cinderella ran and opened.",lang
"""How long you have stayed!"" cried she, gaping, rubbing her eyes and stretching herself as if she had been just waked out of her sleep; she had not, however, any manner of inclination to sleep since they went from home.",lang
"""If thou hadst been at the ball,"" said one of her sisters, ""thou wouldst not have been tired with it.",lang
"There came thither the finest princess, the most beautiful ever was seen with mortal eyes; she showed us a thousand civilities, and gave us oranges and citrons."" Cinderella seemed very indifferent in the matter; indeed, she asked them the name of that princess; but they told her they did not know it, and that the King's son was very uneasy on her account and would give all the world to know who she was.",lang
"At this Cinderella, smiling, replied: ""She must, then, be very beautiful indeed; how happy you have been!",lang
Could not I see her?,lang
"Ah! dear Miss Charlotte, do lend me your yellow suit of clothes which you wear every day."" ""Ay, to be sure!"" cried Miss Charlotte; ""lend my clothes to such a dirty Cinderwench as thou art!",lang
"I should be a fool."" Cinderella, indeed, expected well such answer, and was very glad of the refusal; for she would have been sadly put to it if her sister had lent her what she asked for jestingly.",lang
"The next day the two sisters were at the ball, and so was Cinderella, but dressed more magnificently than before.",lang
"The King's son was always by her, and never ceased his compliments and kind speeches to her; to whom all this was so far from being tiresome that she quite forgot what her godmother had recommended to her; so that she, at last, counted the clock striking twelve when she took it to be no more than eleven; she then rose up and fled, as nimble as a deer.",lang
"The Prince followed, but could not overtake her.",lang
"She left behind one of her glass slippers, which the Prince took up most carefully.",lang
"She got home but quite out of breath, and in her nasty old clothes, having nothing left her of all her finery but one of the little slippers, fellow to that she dropped.",lang
The guards at the palace gate were asked: If they had not seen a princess go out.,lang
"Who said: They had seen nobody go out but a young girl, very meanly dressed, and who had more the air of a poor country wench than a gentlewoman.",lang
"When the two sisters returned from the ball Cinderella asked them: If they had been well diverted, and if the fine lady had been there.",lang
"They told her: Yes, but that she hurried away immediately when it struck twelve, and with so much haste that she dropped one of her little glass slippers, the prettiest in the world, which the King's son had taken up; that he had done nothing but look at her all the time at the ball, and that most certainly he was very much in love with the beautiful person who owned the glass slipper.",lang
"What they said was very true; for a few days after the King's son caused it to be proclaimed, by sound of trumpet, that he would marry her whose foot the slipper would just fit.",lang
"They whom he employed began to try it upon the princesses, then the duchesses and all the Court, but in vain; it was brought to the two sisters, who did all they possibly could to thrust their foot into the slipper, but they could not effect it.",lang
"Cinderella, who saw all this, and knew her slipper, said to them, laughing: ""Let me see if it will not fit me."" Her sisters burst out a-laughing, and began to banter her.",lang
"The gentleman who was sent to try the slipper looked earnestly at Cinderella, and, finding her very handsome, said: It was but just that she should try, and that he had orders to let everyone make trial.",lang
"He obliged Cinderella to sit down, and, putting the slipper to her foot, he found it went on very easily, and fitted her as if it had been made of wax.",lang
"The astonishment her two sisters were in was excessively great, but still abundantly greater when Cinderella pulled out of her pocket the other slipper, and put it on her foot.",lang
"Thereupon, in came her godmother, who, having touched with her wand Cinderella's clothes, made them richer and more magnificent than any of those she had before.",lang
"And now her two sisters found her to be that fine, beautiful lady whom they had seen at the ball.",lang
They threw themselves at her feet to beg pardon for all the ill-treatment they had made her undergo.,lang
"Cinderella took them up, and, as she embraced them, cried: That she forgave them with all her heart, and desired them always to love her.",lang
"She was conducted to the young prince, dressed as she was; he thought her more charming than ever, and, a few days after, married her.",lang
"Cinderella, who was no less good than beautiful, gave her two sisters lodgings in the palace, and that very same day matched them with two great lords of the Court",lang
"Once there was a gentleman who married, for his second wife, the proudest and most haughty woman that was ever seen.",perrault
"She had, by a former husband, two daughters of her own, who were, indeed, exactly like her in all things.",perrault
"He had likewise, by another wife, a young daughter, but of unparalleled goodness and sweetness of temper, which she took from her mother, who was the best creature in the world.",perrault
No sooner were the ceremonies of the wedding over but the stepmother began to show herself in her true colors.,perrault
"She could not bear the good qualities of this pretty girl, and the less because they made her own daughters appear the more odious.",perrault
She employed her in the meanest work of the house.,perrault
"She scoured the dishes, tables, etc., and cleaned madam's chamber, and those of misses, her daughters.",perrault
"She slept in a sorry garret, on a wretched straw bed, while her sisters slept in fine rooms, with floors all inlaid, on beds of the very newest fashion, and where they had looking glasses so large that they could see themselves at their full length from head to foot.",perrault
"The poor girl bore it all patiently, and dared not tell her father, who would have scolded her; for his wife governed him entirely.",perrault
"When she had done her work, she used to go to the chimney corner, and sit down there in the cinders and ashes, which caused her to be called Cinderwench.",perrault
"Only the younger sister, who was not so rude and uncivil as the older one, called her Cinderella.",perrault
"However, Cinderella, notwithstanding her coarse apparel, was a hundred times more beautiful than her sisters, although they were always dressed very richly.",perrault
"It happened that the king's son gave a ball, and invited all persons of fashion to it.",perrault
"Our young misses were also invited, for they cut a very grand figure among those of quality.",perrault
"They were mightily delighted at this invitation, and wonderfully busy in selecting the gowns, petticoats, and hair dressing that would best become them.",perrault
This was a new difficulty for Cinderella; for it was she who ironed her sister's linen and pleated their ruffles.,perrault
They talked all day long of nothing but how they should be dressed.,perrault
"""For my part,"" said the eldest, ""I will wear my red velvet suit with French trimming."" ""And I,"" said the youngest, ""shall have my usual petticoat; but then, to make amends for that, I will put on my gold-flowered cloak, and my diamond stomacher, which is far from being the most ordinary one in the world."" They sent for the best hairdresser they could get to make up their headpieces and adjust their hairdos, and they had their red brushes and patches from Mademoiselle de la Poche.",perrault
"They also consulted Cinderella in all these matters, for she had excellent ideas, and her advice was always good.",perrault
"Indeed, she even offered her services to fix their hair, which they very willingly accepted.",perrault
"As she was doing this, they said to her, ""Cinderella, would you not like to go to the ball?"" ""Alas!"" said she, ""you only jeer me; it is not for such as I am to go to such a place."" ""You are quite right,"" they replied.",perrault
"""It would make the people laugh to see a Cinderwench at a ball."" Anyone but Cinderella would have fixed their hair awry, but she was very good, and dressed them perfectly well.",perrault
They were so excited that they hadn't eaten a thing for almost two days.,perrault
Then they broke more than a dozen laces trying to have themselves laced up tightly enough to give them a fine slender shape.,perrault
They were continually in front of their looking glass.,perrault
At last the happy day came.,perrault
"They went to court, and Cinderella followed them with her eyes as long as she could.",perrault
"When she lost sight of them, she started to cry.",perrault
"Her godmother, who saw her all in tears, asked her what was the matter.",perrault
"""I wish I could.",perrault
"I wish I could."" She was not able to speak the rest, being interrupted by her tears and sobbing.",perrault
"This godmother of hers, who was a fairy, said to her, ""You wish that you could go to the ball; is it not so?"" ""Yes,"" cried Cinderella, with a great sigh.",perrault
"""Well,"" said her godmother, ""be but a good girl, and I will contrive that you shall go."" Then she took her into her chamber, and said to her, ""Run into the garden, and bring me a pumpkin."" Cinderella went immediately to gather the finest she could get, and brought it to her godmother, not being able to imagine how this pumpkin could help her go to the ball.",perrault
"Her godmother scooped out all the inside of it, leaving nothing but the rind.",perrault
"Having done this, she struck the pumpkin with her wand, and it was instantly turned into a fine coach, gilded all over with gold.",perrault
"She then went to look into her mousetrap, where she found six mice, all alive, and ordered Cinderella to lift up a little the trapdoor.",perrault
"She gave each mouse, as it went out, a little tap with her wand, and the mouse was that moment turned into a fine horse, which altogether made a very fine set of six horses of a beautiful mouse colored dapple gray.",perrault
"Being at a loss for a coachman, Cinderella said, ""I will go and see if there is not a rat in the rat trap that we can turn into a coachman."" ""You are right,"" replied her godmother, ""Go and look."" Cinderella brought the trap to her, and in it there were three huge rats.",perrault
"The fairy chose the one which had the largest beard, touched him with her wand, and turned him into a fat, jolly coachman, who had the smartest whiskers that eyes ever beheld.",perrault
"After that, she said to her, ""Go again into the garden, and you will find six lizards behind the watering pot.",perrault
"Bring them to me."" She had no sooner done so but her godmother turned them into six footmen, who skipped up immediately behind the coach, with their liveries all bedaubed with gold and silver, and clung as close behind each other as if they had done nothing else their whole lives.",perrault
"The fairy then said to Cinderella, ""Well, you see here an equipage fit to go to the ball with; are you not pleased with it?"" ""Oh, yes,"" she cried; ""but must I go in these nasty rags?"" Her godmother then touched her with her wand, and, at the same instant, her clothes turned into cloth of gold and silver, all beset with jewels.",perrault
"This done, she gave her a pair of glass slippers, the prettiest in the whole world.",perrault
"Being thus decked out, she got up into her coach; but her godmother, above all things, commanded her not to stay past midnight, telling her, at the same time, that if she stayed one moment longer, the coach would be a pumpkin again, her horses mice, her coachman a rat, her footmen lizards, and that her clothes would become just as they were before.",perrault
"She promised her godmother to leave the ball before midnight; and then drove away, scarcely able to contain herself for joy.",perrault
"The king's son, who was told that a great princess, whom nobody knew, had arrived, ran out to receive her.",perrault
"He gave her his hand as she alighted from the coach, and led her into the hall, among all the company.",perrault
There was immediately a profound silence.,perrault
"Everyone stopped dancing, and the violins ceased to play, so entranced was everyone with the singular beauties of the unknown newcomer.",perrault
"Nothing was then heard but a confused noise of, ""How beautiful she is!",perrault
"How beautiful she is!"" The king himself, old as he was, could not help watching her, and telling the queen softly that it was a long time since he had seen so beautiful and lovely a creature.",perrault
"All the ladies were busied in considering her clothes and headdress, hoping to have some made next day after the same pattern, provided they could find such fine materials and as able hands to make them.",perrault
"The king's son led her to the most honorable seat, and afterwards took her out to dance with him.",perrault
She danced so very gracefully that they all more and more admired her.,perrault
"A fine meal was served up, but the young prince ate not a morsel, so intently was he busied in gazing on her.",perrault
"She went and sat down by her sisters, showing them a thousand civilities, giving them part of the oranges and citrons which the prince had presented her with, which very much surprised them, for they did not know her.",perrault
"While Cinderella was thus amusing her sisters, she heard the clock strike eleven and three-quarters, whereupon she immediately made a courtesy to the company and hurried away as fast as she could.",perrault
"Arriving home, she ran to seek out her godmother, and, after having thanked her, she said she could not but heartily wish she might go to the ball the next day as well, because the king's son had invited her.",perrault
"As she was eagerly telling her godmother everything that had happened at the ball, her two sisters knocked at the door, which Cinderella ran and opened.",perrault
"""You stayed such a long time!"" she cried, gaping, rubbing her eyes and stretching herself as if she had been sleeping; she had not, however, had any manner of inclination to sleep while they were away from home.",perrault
"""If you had been at the ball,"" said one of her sisters, ""you would not have been tired with it.",perrault
"The finest princess was there, the most beautiful that mortal eyes have ever seen.",perrault
"She showed us a thousand civilities, and gave us oranges and citrons."" Cinderella seemed very indifferent in the matter.",perrault
"Indeed, she asked them the name of that princess; but they told her they did not know it, and that the king's son was very uneasy on her account and would give all the world to know who she was.",perrault
"At this Cinderella, smiling, replied, ""She must, then, be very beautiful indeed; how happy you have been!",perrault
Could not I see her?,perrault
"Ah, dear Charlotte, do lend me your yellow dress which you wear every day."" ""Yes, to be sure!"" cried Charlotte; ""lend my clothes to such a dirty Cinderwench as you are!",perrault
"I should be such a fool."" Cinderella, indeed, well expected such an answer, and was very glad of the refusal; for she would have been sadly put to it, if her sister had lent her what she asked for jestingly.",perrault
"The next day the two sisters were at the ball, and so was Cinderella, but dressed even more magnificently than before.",perrault
"The king's son was always by her, and never ceased his compliments and kind speeches to her.",perrault
"All this was so far from being tiresome to her, and, indeed, she quite forgot what her godmother had told her.",perrault
She thought that it was no later than eleven when she counted the clock striking twelve.,perrault
"She jumped up and fled, as nimble as a deer.",perrault
"The prince followed, but could not overtake her.",perrault
"She left behind one of her glass slippers, which the prince picked up most carefully.",perrault
"She reached home, but quite out of breath, and in her nasty old clothes, having nothing left of all her finery but one of the little slippers, the mate to the one that she had dropped.",perrault
The guards at the palace gate were asked if they had not seen a princess go out.,perrault
"They replied that they had seen nobody leave but a young girl, very shabbily dressed, and who had more the air of a poor country wench than a gentlewoman.",perrault
"When the two sisters returned from the ball Cinderella asked them if they had been well entertained, and if the fine lady had been there.",perrault
"They told her, yes, but that she hurried away immediately when it struck twelve, and with so much haste that she dropped one of her little glass slippers, the prettiest in the world, which the king's son had picked up; that he had done nothing but look at her all the time at the ball, and that most certainly he was very much in love with the beautiful person who owned the glass slipper.",perrault
"What they said was very true; for a few days later, the king's son had it proclaimed, by sound of trumpet, that he would marry her whose foot this slipper would just fit.",perrault
"They began to try it on the princesses, then the duchesses and all the court, but in vain; it was brought to the two sisters, who did all they possibly could to force their foot into the slipper, but they did not succeed.",perrault
"Cinderella, who saw all this, and knew that it was her slipper, said to them, laughing, ""Let me see if it will not fit me."" Her sisters burst out laughing, and began to banter with her.",perrault
"The gentleman who was sent to try the slipper looked earnestly at Cinderella, and, finding her very handsome, said that it was only just that she should try as well, and that he had orders to let everyone try.",perrault
"He had Cinderella sit down, and, putting the slipper to her foot, he found that it went on very easily, fitting her as if it had been made of wax.",perrault
"Her two sisters were greatly astonished, but then even more so, when Cinderella pulled out of her pocket the other slipper, and put it on her other foot.",perrault
"Then in came her godmother and touched her wand to Cinderella's clothes, making them richer and more magnificent than any of those she had worn before.",perrault
"And now her two sisters found her to be that fine, beautiful lady whom they had seen at the ball.",perrault
They threw themselves at her feet to beg pardon for all the ill treatment they had made her undergo.,perrault
"Cinderella took them up, and, as she embraced them, said that she forgave them with all her heart, and wanted them always to love her.",perrault
"She was taken to the young prince, dressed as she was.",perrault
"He thought she was more charming than before, and, a few days after, married her.",perrault
"Cinderella, who was no less good than beautiful, gave her two sisters lodgings in the palace, and that very same day matched them with two great lords of the court.",perrault
Moral: Beauty in a woman is a rare treasure that will always be admired.,perrault
"Graciousness, however, is priceless and of even greater value.",perrault
This is what Cinderella's godmother gave to her when she taught her to behave like a queen.,perrault
"Young women, in the winning of a heart, graciousness is more important than a beautiful hairdo.",perrault
It is a true gift of the fairies.,perrault
"Without it nothing is possible; with it, one can do anything.",perrault
"Another moral: Without doubt it is a great advantage to have intelligence, courage, good breeding, and common sense.",perrault
"These, and similar talents come only from heaven, and it is good to have them.",perrault
"However, even these may fail to bring you success, without the blessing of a godfather or a godmother.",perrault
"Once upon a time, in a faraway kingdom, there lived a young girl named Cinderella.",kids
"She was a kind, gentle, and beautiful child with the most radiant smile.",kids
"Cinderella had a heart full of love, but unfortunately, fate hadn't been kind to Cinderella.",kids
"Her mother had passed away, leaving her alone with her selfish stepmother.",kids
"The stepmother had two daughters of her own, and she was terribly jealous of Cinderella's beauty and kind heart.",kids
"She treated Cinderella unfairly, making her do all the housework and dress in rags while her own daughters wore fine clothes and lived in luxury.",kids
"Despite the cruelty she faced, Cinderella remained kind and gentle, never letting her stepmother's unkindness change who she was.",kids
"She would often seek comfort in the garden, talking to the birds and the animals, who had become her dearest friends.",kids
"One day, the kingdom received exciting news.",kids
"The prince was hosting a grand ball at the palace, and every maiden in the land was invited.",kids
Cinderella's stepsisters were overjoyed and spent weeks preparing their gowns and practicing their dance moves.,kids
"Cinderella watched her stepsisters with a sad smile, hoping she might be able to attend the ball and experience a bit of the magic she had heard about in her mother's stories.",kids
But her stepmother was insistent that Cinderella would stay home and continue with her chores.,kids
"The night of the ball arrived, and Cinderella was left alone in her old clothes while her stepsisters and stepmother departed for the palace.",kids
"She sat by the fireplace, tears in her eyes, wishing for just a taste of the magic her mother had told her about.",kids
"Suddenly, a soft, sweet voice filled the room.",kids
"It was her fairy godmother, a beautiful figure surrounded by a soft, glowing light.",kids
"""Why are you crying, my dear?"" the fairy godmother asked.",kids
Cinderella explained her wish to attend the ball but how her stepmother had been unkind and refused to allow her to go.,kids
"The fairy godmother smiled and said, ""Don't worry, my child.",kids
